NuGetAnalyzerPackage,DiagnosticID,DiagnosticTitle,DiagnosticDescription,DiagnosticDefaultSeverity,DiagnosticCategory
StyleCop.Analyzers.Unstable.1.2.0.333,SA1516,Elements should be separated by blank line,Adjacent C# elements are not separated by a blank line.,Warning,StyleCop.CSharp.LayoutRules
StyleCop.Analyzers.Unstable.1.2.0.333,SA1520,Use braces consistently,"The opening and closing braces of a chained if/else if/else construct were included for some clauses, but omitted for others.",Warning,StyleCop.CSharp.LayoutRules
StyleCop.Analyzers.Unstable.1.2.0.333,SA1205,Partial elements should declare access,The partial element does not have an access modifier defined.,Warning,StyleCop.CSharp.OrderingRules
StyleCop.Analyzers.Unstable.1.2.0.333,SA1209,Using alias directives should be placed after other using directives,A using-alias directive is positioned before a regular using directive.,Warning,StyleCop.CSharp.OrderingRules
StyleCop.Analyzers.Unstable.1.2.0.333,SA1210,Using directives should be ordered alphabetically by namespace,The using directives within a C# code file are not sorted alphabetically by namespace.,Warning,StyleCop.CSharp.OrderingRules
StyleCop.Analyzers.Unstable.1.2.0.333,SA1212,Property accessors should follow order,A get accessor appears after a set accessor within a property or indexer.,Warning,StyleCop.CSharp.OrderingRules
StyleCop.Analyzers.Unstable.1.2.0.333,SA1600,Elements should be documented,A C# code element is missing a documentation header.,Warning,StyleCop.CSharp.DocumentationRules
StyleCop.Analyzers.Unstable.1.2.0.333,SA1615,Element return value should be documented,A C# element is missing documentation for its return value.,Warning,StyleCop.CSharp.DocumentationRules
StyleCop.Analyzers.Unstable.1.2.0.333,SA1642,Constructor summary documentation should begin with standard text,The XML documentation header for a C# constructor does not contain the appropriate summary text.,Warning,StyleCop.CSharp.DocumentationRules
VSDiagnostics.1.10.0,VSD0034,Replaces an empty string literal with the more expressive string.Empty.,,Warning,Strings
VSDiagnostics.1.10.0,VSD0001,Asynchronous methods should end with the -Async suffix.,,Warning,Async
WTG.Analyzers.2.10.4,WTG3002,Prefer direct member access over linq.,Don't use linq extension methods when there is a better alternative.,Info,Decruftification
WTG.Analyzers.2.10.4,WTG1009,Using directives must be ordered by kind.,"Move all 'using static' statements after 'using' statements, and move 'using X=Y' to the end.",Info,CodingConvention
WhitespaceAnalyzers.1.0.5716.21417,WS002,File does not end with newline,Files must end with a newline.,Warning,Whitespace
WhitespaceAnalyzers.1.0.5716.21417,WS001,File starts with whitespace,Files must not start with whitespace.,Warning,Whitespace
ZWA.Infrastructure.CodeAnalysis.1.0.0,FS0037,Remove commented code.,,Info,Style
ZWA.Infrastructure.CodeAnalysis.1.0.0,FS0065,Remove trailing whitespace,Trailing whitespaces are ugly and show sloppiness. Remove them.,Info,Style
ZWA.Infrastructure.CodeAnalysis.1.0.0,FS0132,Add braces to single while statement.,,Warning,Refactoring
ZWA.Infrastructure.CodeAnalysis.1.0.0,FS0049,Simplify expression,,Info,Usage
codecracker.CSharp.1.1.0,CC0072,Remove Async termination when method is not asynchronous.,Remove Async termination when method is not asynchronous.,Info,Style
codecracker.CSharp.1.1.0,CC0061,Asynchronous method can be terminated with the 'Async' keyword.,Asynchronous method can be terminated with the 'Async' keyword.,Info,Style
codecracker.CSharp.1.1.0,CC0049,Simplify expression,,Info,Usage
mstest-analyzer.0.6.1,MT1001,Public class should have a test attribute,,Warning,Maintainability
